feature,description,data_type,unit,category,leakage_type,availability,reasoning
gh_is_pr,Is pull request,boolean,binary,Build Context,CLEAN,BEFORE_BUILD,Known from build trigger event
gh_num_pr_comments,Pull request comment count,integer,count,Team Metrics,CLEAN,BEFORE_BUILD,PR metadata before build
gh_num_issue_comments,Issue comment count,integer,count,Team Metrics,CLEAN,BEFORE_BUILD,Issue metadata before build
gh_pr_intra_branch,PR within same repository,boolean,binary,Build Context,CLEAN,BEFORE_BUILD,PR metadata before build
gh_project_age_days,Project age in days,integer,days,Project Maturity,CLEAN,BEFORE_BUILD,Computed from creation date
gh_commits_count,Total commit count,integer,count,Project Maturity,CLEAN,BEFORE_BUILD,Historical commit data
gh_contributors_count,Number of contributors,integer,count,Project Maturity,CLEAN,BEFORE_BUILD,Historical contributor analysis
gh_total_stars,Repository star count,integer,count,Project Maturity,TYPE_3_FUTURE_INFORMATION,TIME_DEPENDENT,Stars change after build time
gh_total_forks,Repository fork count,integer,count,Project Maturity,TYPE_3_FUTURE_INFORMATION,TIME_DEPENDENT,Forks change after build time
gh_watchers_count,Repository watcher count,integer,count,Project Maturity,TYPE_3_FUTURE_INFORMATION,TIME_DEPENDENT,Watchers change after build time
gh_project_maturity_days,Project maturity score,integer,days,Project Maturity,CLEAN,BEFORE_BUILD,Computed from development history
git_repository_age_days,Repository age from first commit,integer,days,Project Maturity,CLEAN,BEFORE_BUILD,Static historical calculation
gh_test_density,Tests per 1000 lines of code,float,tests/KLOC,Test Structure,CLEAN,BEFORE_BUILD,Static code analysis metric
gh_src_complexity_avg,Average source file complexity,float,score,Code Complexity,CLEAN,BEFORE_BUILD,Static code analysis
gh_src_complexity_max,Maximum source file complexity,float,score,Code Complexity,CLEAN,BEFORE_BUILD,Static code analysis
gh_nesting_depth_avg,Average nesting depth,float,levels,Code Complexity,CLEAN,BEFORE_BUILD,Static code analysis
gh_code_duplication_ratio,Code duplication percentage,float,percentage,Code Complexity,CLEAN,BEFORE_BUILD,Static code analysis
gh_technical_debt_index,Technical debt index,float,score,Code Complexity,CLEAN,BEFORE_BUILD,Static code analysis metric
gh_halstead_difficulty_avg,Average Halstead difficulty,float,score,Code Complexity,CLEAN,BEFORE_BUILD,Static code metric
gh_maintainability_index,Maintainability index,float,score,Code Complexity,CLEAN,BEFORE_BUILD,Static code analysis
gh_test_complexity_avg,Average test complexity,float,score,Test Structure,CLEAN,BEFORE_BUILD,Static test code analysis
gh_assertion_density,Assertions per test,float,asserts/test,Test Structure,CLEAN,BEFORE_BUILD,Static test analysis
gh_tests_count,Total test count,integer,count,Test Structure,CLEAN,BEFORE_BUILD,Static count from test files
gh_test_classes_count,Test class count,integer,count,Test Structure,CLEAN,BEFORE_BUILD,Static analysis of test structure
gh_test_assertions_count,Total assertion count,integer,count,Test Structure,CLEAN,BEFORE_BUILD,Static count from test code
gh_test_lines_ratio,Test lines / total lines,float,ratio,Test Structure,CLEAN,BEFORE_BUILD,Ratio of test to source code
gh_test_coverage_previous,Test coverage from last build,float,percentage,Test Metrics,CLEAN,BEFORE_BUILD,Historical coverage data (not current)
gh_test_growth_rate,Test count growth rate,float,tests/day,Test Structure,CLEAN,BEFORE_BUILD,Trend from historical data
tr_prev_build_duration,Previous build duration,integer,seconds,Build History,CLEAN,BEFORE_BUILD,Historical build data
tr_prev_build_success,Previous build succeeded,boolean,binary,Build History,CLEAN,BEFORE_BUILD,Historical outcome (not current)
tr_builds_last_30_days,Builds in last 30 days,integer,count,Build History,CLEAN,BEFORE_BUILD,Historical frequency metric
tr_failure_streak,Consecutive failures,integer,count,Build History,CLEAN,BEFORE_BUILD,Historical failure pattern
git_num_files_modified,Files modified in commit,integer,count,Commit Context,CLEAN,BEFORE_BUILD,Available from commit diff
git_lines_added,Lines added in commit,integer,lines,Commit Context,CLEAN,BEFORE_BUILD,Available from commit diff
git_lines_deleted,Lines deleted in commit,integer,lines,Commit Context,CLEAN,BEFORE_BUILD,Available from commit diff
quality_score,Composite quality metric,float,score,Target,TYPE_2_EXECUTION_DEPENDENT,AFTER_BUILD,Computed from build + test results
